Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
BIDTBW,Estimated total water body volume (L),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5250307819042633
BMIARML,Upper Arm Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5863522155863599
BMILEG,Upper Leg Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.6257650573027329
BMIRECUM,Recumbent Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5555036538009176
BMXARML,Upper Arm Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5911789576826412
BMXLEG,Upper Leg Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.6305394378936807
BMXRECUM,Recumbent Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5781482068747257
BPQ150A,Had food in the past 30 minutes?,minute,http://purl.obolibrary.org/obo/UO_0000031,0.5382965049889007
PEASCCT1,Blood Pressure Comment,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.6601553313534048
PEASCST1,Blood Pressure Status,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.5947964620722533
PEASCTM1,Blood Pressure Time in Seconds,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.5147510282313181
CVATEMP,Room temperature (degrees F),temperature unit,http://purl.obolibrary.org/obo/UO_0000005,0.5940212651300205
CVDEXCL6,Excluded per other specific reasons,specific volume unit,http://purl.obolibrary.org/obo/UO_0000059,0.6189613481503482
MSDAPF,Average peak force (Newtons),newton,http://purl.obolibrary.org/obo/UO_0000108,0.5616244140985552
MSDPF,Peak force (Newtons),newton,http://purl.obolibrary.org/obo/UO_0000108,0.6335621915534649
MSXARML,Arm length cm,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.7042572970384797
OHD01TC,Tooth Count: #1,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5518255912259056
OHD02TC,Tooth Count: #2,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5572714841420984
OHD03TC,Tooth Count: #3,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5469374976783244
OHD04TC,Tooth Count: #4,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5468465937226831
OHD05TC,Tooth Count: #5,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5477686524626066
OHD06TC,Tooth Count: #6,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.539471468827017
OHD07TC,Tooth Count: #7,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5315559037543224
OHD08TC,Tooth Count: #8,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5288036461717955
OHD09TC,Tooth Count: #9,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5304075694478763
OHD10TC,Tooth Count: #10,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5062068468609409
OHD11TC,Tooth Count: #11,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5001900714851659
OHD12TC,Tooth Count: #12,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5211477273485674
OHD18TC,Tooth Count: #18,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.508714164578914
OHD20TC,Tooth Count: #20,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5041099669721177
OHD22TC,Tooth Count: #22,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5106489174011654
OHD30TC,Tooth Count: #30,count unit,http://purl.obolibrary.org/obo/UO_0000189,0.5248424110425847
LB2BAPCT,Basophils percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5188503921908229
LB2MCVSI,Mean cell volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.6247707056383263
LB2MOPCT,Monocyte percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5504963828702217
LB2MPSI,Mean platelet volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5577623568760685
LB2RBCSI,Red blood cell count (million cells/uL),cells per milliliter,http://purl.obolibrary.org/obo/UO_0000201,0.576157303110294
LB2WBCSI,White blood cell count (1000 cells/uL),cells per well,http://purl.obolibrary.org/obo/UO_0000317,0.5364390028594077
SSISR,Specimen Index ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.506329668354675
PHAFSTHR,Total length of food fast hours,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5315178767742529
PHAFSTMN,Total length of food fast minutes,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5206674976751928
PHAGUMMN,Gum mints cough fast time (minutes),minute,http://purl.obolibrary.org/obo/UO_0000031,0.5016839696794336
URXUHG,Mercury urine (ng/mL),millimetres of mercury,http://purl.obolibrary.org/obo/UO_0000272,0.5017197965768152
KIQ301,Radiation treatment for prostate cancer,radiation unit,http://purl.obolibrary.org/obo/UO_0000127,0.5894564065157788
LBXBAPCT,Basophils percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5188503921908229
LBXMCVSI,Mean cell volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.6247707056383263
LBXMOPCT,Monocyte percent (%),percent,http://purl.obolibrary.org/obo/UO_0000187,0.5504963828702217
LBXMPSI,Mean platelet volume (fL),volume per unit volume,http://purl.obolibrary.org/obo/UO_0000205,0.5577623568760685
LBAMMT1,Molecular type 1,molecule count,http://purl.obolibrary.org/obo/UO_0000192,0.5038506876894425
LBAMMT2,Molecular type 2,molecule count,http://purl.obolibrary.org/obo/UO_0000192,0.5064684109616789
SSBETA,Beta,peta,http://purl.obolibrary.org/obo/UO_0000290,0.502279468177144
SSKL_R,K/L Ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.8268198299369192
SSOL_H,Heavy chain MGUS,chain,http://purl.obolibrary.org/obo/UO_0010015,0.5292128483041655
SSOL_L,Light chain MGUS,chain,http://purl.obolibrary.org/obo/UO_0010015,0.5819016477770912
TeloMean,Mean T/S ratio,ratio,http://purl.obolibrary.org/obo/UO_0010006,0.718409835113992
SSCMV,CMV specific IgG results,specific volume unit,http://purl.obolibrary.org/obo/UO_0000059,0.5036935385215496
ALQ140U,# days per week month year?,week,http://purl.obolibrary.org/obo/UO_0000034,0.539102798691254
DIQ060U,Unit of measure (month/year),month based unit,http://purl.obolibrary.org/obo/UO_1000035,0.5759809501952781
MCQ117U,Months or years,month,http://purl.obolibrary.org/obo/UO_0000035,0.5159238557994874
MPQ120ae,Right foot affected,foot,http://purl.obolibrary.org/obo/UO_0010013,0.5451254013203133
MPQ120af,Left foot affected,foot,http://purl.obolibrary.org/obo/UO_0010013,0.5483265218946937
PUD010,Pest control in home in past month?,month,http://purl.obolibrary.org/obo/UO_0000035,0.5149093340016384
PUD040,Home have private yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5592910415362072
PUD060,Pest control in yard in past month?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5429813654995383
PUD071,Non-professional treated yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5233859517529932
PUD073,Professional treated yard?,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5517047981027415
PUD074,# treatments in yard by professional,yard,http://purl.obolibrary.org/obo/UO_0010014,0.5133854315289744
PAD080,How long per day (minutes),gray per minute,http://purl.obolibrary.org/obo/UO_0010060,0.5650025612817464
PAQ050U,Unit of measure (day/week/month),week based unit,http://purl.obolibrary.org/obo/UO_1000034,0.5530177259053272
PFQ060B,Walking for a quarter mile difficulty,quarter,http://purl.obolibrary.org/obo/UO_0010036,0.5014084604747556
RHD120,Monthly frequency of hot flashes,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5434223164545002
RHQ730,Frequency SP douched in past 6 months,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5408871964610799
SMD100LN,Length in Millimeters,millimeter,http://purl.obolibrary.org/obo/UO_0000016,0.697429919313888
SMQ050U,Unit of measure (day/week/month/year),week based unit,http://purl.obolibrary.org/obo/UO_1000034,0.520369154158407
KIQ045,Frequency with which this occurs,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5559782506388543
CIQP13A,Did your heart pound or race?,pound,http://purl.obolibrary.org/obo/UO_0010034,0.5083585807352065
CIQG04,WTA frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.8272687289082854
CIQD002,Sad empty depressed (SED) frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5060335428470459
CIQD005,When SED did you lack energy?,energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.6084401869641571
CIQD009,Loss of interest frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.6875563359110495
CIQD012,When lost interest did you lack energy?,energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.5223950394168427
CIQD015,Irritable frequency,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.6533400179197006
