subject,predicate,value
CDNO:0200013,rdfs:label,concentration of glucose in material entity
CDNO:0200014,rdfs:label,concentration of fructose in material entity
CDNO:0200015,rdfs:label,concentration of rhamnose in material entity
CDNO:0200016,rdfs:label,concentration of D-apiose in material entity
CDNO:0200017,rdfs:label,concentration of galacturonic acid in material entity
CDNO:0200018,rdfs:label,concentration of fucose in material entity
CDNO:0200019,rdfs:label,concentration of xylose in material entity
CDNO:0200020,rdfs:label,concentration of arabinose in material entity
CDNO:0200021,rdfs:label,concentration of galactose in material entity
CDNO:0200022,rdfs:label,concentration of mannose in material entity
CDNO:0200023,rdfs:label,concentration of ribose in material entity
CDNO:0200024,rdfs:label,concentration of disaccharide in material entity
CDNO:0200025,rdfs:label,concentration of sucrose in material entity
CDNO:0200026,rdfs:label,concentration of trehalose in material entity
CDNO:0200027,rdfs:label,concentration of maltose in material entity
CDNO:0200028,rdfs:label,concentration of oligosaccharide in material entity
CDNO:0200029,rdfs:label,concentration of raffinose family oligosaccharide in material entity
CDNO:0200030,rdfs:label,concentration of raffinose in material entity
CDNO:0200031,rdfs:label,concentration of stachyose in material entity
CDNO:0200032,rdfs:label,concentration of verbascose in material entity
CDNO:0200033,rdfs:label,concentration of available carbohydrate in material entity
CDNO:0200034,rdfs:label,concentration of free sugar in material entity
CDNO:0200035,rdfs:label,concentration of dietary fibre in material entity
CDNO:0200036,rdfs:label,concentration of soluble dietary fibre in material entity
CDNO:0200037,rdfs:label,concentration of resistant starch in material entity
CDNO:0200038,rdfs:label,concentration of insoluble dietary fibre in material entity
CDNO:0200039,rdfs:label,concentration of fructan in material entity
CDNO:0200040,rdfs:label,concentration of protein in material entity
CDNO:0200041,rdfs:label,concentration of seed storage protein in material entity
CDNO:0200042,rdfs:label,concentration of albumin type in material entity
CDNO:0200043,rdfs:label,concentration of globulin type in material entity
CDNO:0200044,rdfs:label,concentration of prolamin in material entity
CDNO:0200045,rdfs:label,concentration of cruciferin in material entity
CDNO:0200046,rdfs:label,concentration of glutenin in material entity
CDNO:0200047,rdfs:label,concentration of alanine in material entity
CDNO:0200048,rdfs:label,concentration of arginine in material entity
CDNO:0200049,rdfs:label,concentration of asparagine in material entity
